uuid,gps_lat,gps_lng,gps_speed,gps_timestamp
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048168216,-122.41163386,0,2016-07-22T20:14:33.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048275086,-122.411631849,0.27000001072884,2016-07-22T20:14:35.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048275086,-122.411631849,0,2016-07-22T20:14:39.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048331663,-122.411626401,0,2016-07-22T20:14:40.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048190847,-122.411622042,1.25999999046326,2016-07-22T20:14:42.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047890775,-122.411623886,0.34000000357628,2016-07-22T20:14:45.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047890775,-122.411623886,0,2016-07-22T20:14:48.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047797736,-122.411624892,0.31999999284744,2016-07-22T20:14:49.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047838807,-122.411636626,0.80000001192093,2016-07-22T20:14:52.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047834617,-122.411645595,0,2016-07-22T20:14:53.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048102418,-122.411611145,1.8099999427795401,2016-07-22T20:14:56.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048428893,-122.411529757,4.07000017166138,2016-07-22T20:14:57.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048574739,-122.411446609,3.5699999332428,2016-07-22T20:15:00.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048700048,-122.411358263,4.32000017166138,2016-07-22T20:15:02.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049212182,-122.411197918,1.7699999809265101,2016-07-22T20:15:06.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049212601,-122.411212837,0.75999999046326,2016-07-22T20:15:08.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049212601,-122.411212837,0,2016-07-22T20:15:10.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049212601,-122.411212837,0,2016-07-22T20:15:12.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.804935216,-122.411206132,0.81999999284744,2016-07-22T20:15:14.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049145546,-122.411175622,0.81999999284744,2016-07-22T20:15:16.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049432207,-122.411276875,4.76000022888184,2016-07-22T20:15:18.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049285105,-122.411433533,6.07000017166138,2016-07-22T20:15:21.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049135488,-122.411537133,3.9300000667572,2016-07-22T20:15:23.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8049045802,-122.411586838,1.75999999046326,2016-07-22T20:15:26.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048998863,-122.411617097,1.36000001430512,2016-07-22T20:15:27.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,1.03999996185303,2016-07-22T20:15:30.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,0,2016-07-22T20:15:31.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,0,2016-07-22T20:15:35.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,0,2016-07-22T20:15:36.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,0,2016-07-22T20:15:38.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048969945,-122.411646433,0,2016-07-22T20:15:40.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:42.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:44.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:46.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:48.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:50.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048685799,-122.411693875,0,2016-07-22T20:15:53.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048539115,-122.411802672,4.6399998664856,2016-07-22T20:15:55.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048304841,-122.411959833,5.78999996185303,2016-07-22T20:15:57.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048490346,-122.412172574,8.84000015258789,2016-07-22T20:15:59.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.804823192,-122.412380854,8.40999984741211,2016-07-22T20:16:01.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8048025995,-122.41254682,7.1100001335144,2016-07-22T20:16:04.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047812189,-122.412719141,8.32999992370605,2016-07-22T20:16:05.000Z
969be894-d3c5-4a15-b507-96cd06888a6c,37.8047577496,-122.412908292,7.34999990463257,2016-07-22T20:16:08.000Z
