app_version,begintrip_lat,begintrip_lng,begintrip_timestamp_local,client_bill_usd,device,dropoff_lat,dropoff_lng,dropoff_timestamp_local,eta,has_destination
3.68.4,38.4163786,-121.7922809,2016-01-26T01:13:30.000Z,-83.7,android,38.5590766,-121.3686062,2016-01-26T02:42:13.000Z,694,TRUE
2.117.1,37.75159991,-122.4761712,2016-01-26T01:04:39.000Z,-6.79,iphone,37.79887225,-122.419046,2016-01-26T01:20:42.000Z,335,TRUE
2.117.1,37.8323825,-122.2736475,2016-01-26T01:05:58.000Z,-12,iphone,37.8983639,-122.2906993,2016-01-26T01:21:27.000Z,363,TRUE
2.116.2,37.77565501,-122.4403984,2016-01-26T01:02:04.000Z,-8.75,iphone,37.78188901,-122.4784396,2016-01-26T01:12:15.000Z,78,TRUE
2.103.2,37.79659543,-122.4219072,2016-01-26T01:02:11.000Z,-10.58,iphone,37.78444762,-122.470581,2016-01-26T01:18:12.000Z,192,TRUE
2.117.1,37.7980847,-122.4050548,2016-01-26T01:06:35.000Z,-5.23,iphone,37.80089,-122.4268962,2016-01-26T01:13:40.000Z,242,TRUE
2.117.1,37.79242329,-122.3986584,2016-01-26T01:02:53.000Z,-7.81,iphone,37.7832852,-122.4252576,2016-01-26T01:13:02.000Z,175,TRUE
2.107.3,37.79669585,-122.4219416,2016-01-26T01:06:34.000Z,-5.76,iphone,37.79929617,-122.4182267,2016-01-26T01:14:24.000Z,223,FALSE
2.117.1,37.6169644,-122.384047,2016-01-26T01:09:00.000Z,-17.77,iphone,37.7838334,-122.4329964,2016-01-26T01:30:14.000Z,298,TRUE
