city_id,territory,a_zip,simplified_shape_v2,simplified_shape,zip_area,c_avg_12wk_tpr,m_unemployment_rate,m_median_income,d_population,m_population_per_sqmile,c_zip_type,c_billing_zip,c_most_freq_trips_local,c_riders,c_avg_trips_per_rider,c_avg_billings_per_rider,c_churned,c_taken_trips,c_avg_lifetime_months,c_ltv,b_rider_pen
198,New Jersey,7014,"{""type"":""Polygon"",""coordinates"":[[[-74.158491,40.835947],[-74.157914,40.83902],[-74.148473,40.834522],[-74.146471,40.836645],[-74.142598,40.833128],[-74.140177,40.832492],[-74.136732,40.836791],[-74.142706,40.840604],[-74.144667,40.84312],[-74.142936,40.844974],[-74.136054,40.84119],[-74.1356,40.841703],[-74.133665,40.840712],[-74.133028,40.841321],[-74.13274,40.839586],[-74.121853,40.834098],[-74.121087,40.831],[-74.124447,40.822169],[-74.130031,40.819962],[-74.149242,40.830537],[-74.148818,40.830916],[-74.150888,40.833143],[-74.151923,40.832074],[-74.158491,40.835947]]]}","POLYGON ((-74.158491 40.835947, -74.157914 40.83902, -74.148473 40.834522, -74.146471 40.836645, -74.142598 40.833128, -74.140177 40.832492, -74.136732 40.836791, -74.142706 40.840604, -74.144667 40.84312, -74.142936 40.844974, -74.136054 40.84119, -74.1356 40.841703, -74.133665 40.840712, -74.133028 40.841321, -74.13274 40.839586, -74.121853 40.834098, -74.121087 40.831, -74.124447 40.822169, -74.130031 40.819962, -74.149242 40.830537, -74.148818 40.830916, -74.150888 40.833143, -74.151923 40.832074, -74.158491 40.835947))",1.420645391,2.32754338,7.5,84750,5278,3715.21284,C_Medium_High,7014,0.719251337,1496,29.07437458,540.4402429,0.681149733,0.988636364,17.92821726,13.56510275,0.283
198,New Jersey,7016,"{""type"":""Polygon"",""coordinates"":[[[-74.31687,40.656696],[-74.319449,40.658154],[-74.326141,40.656094],[-74.326593,40.657702],[-74.327693,40.662904],[-74.325199,40.667596],[-74.326093,40.668202],[-74.323615,40.670664],[-74.323228,40.672276],[-74.324391,40.67444],[-74.322371,40.677443],[-74.310392,40.678402],[-74.312993,40.674703],[-74.312093,40.674304],[-74.314552,40.673889],[-74.312827,40.673282],[-74.307888,40.674387],[-74.306792,40.672102],[-74.290976,40.673465],[-74.29185,40.671802],[-74.290689,40.670646],[-74.288727,40.670925],[-74.285991,40.667001],[-74.284275,40.658075],[-74.283511,40.658187],[-74.283369,40.657406],[-74.285786,40.655022],[-74.282693,40.653502],[-74.280691,40.645712],[-74.282183,40.644572],[-74.281687,40.643381],[-74.287325,40.639999],[-74.29577,40.638581],[-74.304907,40.633459],[-74.319678,40.641989],[-74.316485,40.645194],[-74.320663,40.647344],[-74.312298,40.654042],[-74.31687,40.656696]]]}","POLYGON ((-74.31687 40.656696, -74.319449 40.658154, -74.326141 40.656094, -74.326593 40.657702, -74.327693 40.662904, -74.325199 40.667596, -74.326093 40.668202, -74.323615 40.670664, -74.323228 40.672276, -74.324391 40.67444, -74.322371 40.677443, -74.310392 40.678402, -74.312993 40.674703, -74.312093 40.674304, -74.314552 40.673889, -74.312827 40.673282, -74.307888 40.674387, -74.306792 40.672102, -74.290976 40.673465, -74.29185 40.671802, -74.290689 40.670646, -74.288727 40.670925, -74.285991 40.667001, -74.284275 40.658075, -74.283511 40.658187, -74.283369 40.657406, -74.285786 40.655022, -74.282693 40.653502, -74.280691 40.645712, -74.282183 40.644572, -74.281687 40.643381, -74.287325 40.639999, -74.29577 40.638581, -74.304907 40.633459, -74.319678 40.641989, -74.316485 40.645194, -74.320663 40.647344, -74.312298 40.654042, -74.31687 40.656696))",4.873351888,2.125379919,6.5,113550,22846,4687.943847,C_Medium_High,7016,0.621409029,5848,27.60106201,528.1274711,0.678522572,0.998290014,19.05388261,12.47290995,0.256
198,New Jersey,7023,"{""type"":""Polygon"",""coordinates"":[[[-74.387589,40.632238],[-74.401749,40.640393],[-74.386745,40.653316],[-74.374682,40.646553],[-74.372634,40.6468],[-74.371828,40.644885],[-74.374122,40.642352],[-74.37327,40.641829],[-74.375777,40.636295],[-74.37717,40.634842],[-74.382333,40.632417],[-74.384457,40.630453],[-74.387589,40.632238]]]}","POLYGON ((-74.387589 40.632238, -74.401749 40.640393, -74.386745 40.653316, -74.374682 40.646553, -74.372634 40.6468, -74.371828 40.644885, -74.374122 40.642352, -74.37327 40.641829, -74.375777 40.636295, -74.37717 40.634842, -74.382333 40.632417, -74.384457 40.630453, -74.387589 40.632238))",1.352750157,1.975548142,7.6,127348,7390,5462.945216,C_Medium_High,7023,0.580808081,1782,23.85239437,457.401356,0.673400673,0.996071829,18.41337089,11.17832315,0.241
198,New Jersey,7029,"{""type"":""Polygon"",""coordinates"":[[[-74.165995,40.747969],[-74.164799,40.754718],[-74.155877,40.751722],[-74.154327,40.753966],[-74.145563,40.751975],[-74.144976,40.748161],[-74.14586,40.748031],[-74.140783,40.742694],[-74.139386,40.743314],[-74.137492,40.741398],[-74.142688,40.739301],[-74.145288,40.735701],[-74.147188,40.734401],[-74.155687,40.733501],[-74.15998,40.734485],[-74.162093,40.736109],[-74.163788,40.739201],[-74.165987,40.745199],[-74.165995,40.747969]]]}","POLYGON ((-74.165995 40.747969, -74.164799 40.754718, -74.155877 40.751722, -74.154327 40.753966, -74.145563 40.751975, -74.144976 40.748161, -74.14586 40.748031, -74.140783 40.742694, -74.139386 40.743314, -74.137492 40.741398, -74.142688 40.739301, -74.145288 40.735701, -74.147188 40.734401, -74.155687 40.733501, -74.15998 40.734485, -74.162093 40.736109, -74.163788 40.739201, -74.165987 40.745199, -74.165995 40.747969))",1.446889939,2.701389429,11.8,53051,16496,11401.00539,C_Medium_High,7029,0.814644137,7812,39.13775443,545.4891226,0.653481823,0.974782386,17.88895163,13.72188322,0.474
198,New Jersey,7045,"{""type"":""Polygon"",""coordinates"":[[[-74.361356,40.939299],[-74.370498,40.926937],[-74.37404,40.927298],[-74.374216,40.921969],[-74.371645,40.92135],[-74.366428,40.918141],[-74.356676,40.915791],[-74.349697,40.916512],[-74.347883,40.91351],[-74.349593,40.91185],[-74.353183,40.910446],[-74.350384,40.908593],[-74.351179,40.907344],[-74.349633,40.906311],[-74.351883,40.90419],[-74.351747,40.902647],[-74.349573,40.903845],[-74.349271,40.902641],[-74.344758,40.902596],[-74.345589,40.900045],[-74.339928,40.899308],[-74.339554,40.895904],[-74.338613,40.895769],[-74.33944,40.893881],[-74.335743,40.893239],[-74.3389,40.892087],[-74.339694,40.889839],[-74.339646,40.888758],[-74.338118,40.887173],[-74.339575,40.883893],[-74.340271,40.879528],[-74.338075,40.879652],[-74.337614,40.878206],[-74.33507,40.877426],[-74.33531,40.876555],[-74.337696,40.87591],[-74.337808,40.875101],[-74.334259,40.873471],[-74.337288,40.872611],[-74.337418,40.87179],[-74.335937,40.870521],[-74.33806,40.870059],[-74.336714,40.869079],[-74.33765,40.868402],[-74.33768,40.866752],[-74.339806,40.866539],[-74.34018,40.868365],[-74.339545,40.874876],[-74.341626,40.877524],[-74.340485,40.882283],[-74.342874,40.885385],[-74.346198,40.887367],[-74.35009,40.887702],[-74.352792,40.886265],[-74.355507,40.888913],[-74.359916,40.886643],[-74.360096,40.887329],[-74.361792,40.887158],[-74.36087,40.883379],[-74.358905,40.883365],[-74.358888,40.880786],[-74.357662,40.880344],[-74.357789,40.879259],[-74.358676,40.879136],[-74.358091,40.878002],[-74.362636,40.877577],[-74.360456,40.872665],[-74.361843,40.87065],[-74.365778,40.871801],[-74.366753,40.874063],[-74.37127,40.876723],[-74.369921,40.878054],[-74.370331,40.879192],[-74.371574,40.879878],[-74.37187,40.878855],[-74.373453,40.878978],[-74.373051,40.880533],[-74.374017,40.882604],[-74.3772,40.886221],[-74.376296,40.888095],[-74.376308,40.890713],[-74.374745,40.893264],[-74.374127,40.898616],[-74.374902,40.901059],[-74.378188,40.901844],[-74.378509,40.900151],[-74.383293,40.899546],[-74.384277,40.902503],[-74.383622,40.902564],[-74.383706,40.903409],[-74.384609,40.903338],[-74.387159,40.909755],[-74.390966,40.909837],[-74.392542,40.913437],[-74.393499,40.91741],[-74.390968,40.919447],[-74.394272,40.926232],[-74.388795,40.930394],[-74.389726,40.930836],[-74.38883,40.931932],[-74.389795,40.931872],[-74.390036,40.932698],[-74.374793,40.940133],[-74.374929,40.941559],[-74.37655,40.942487],[-74.381516,40.942622],[-74.380974,40.946451],[-74.374397,40.954036],[-74.367575,40.955078],[-74.365156,40.954335],[-74.363667,40.955394],[-74.364141,40.954467],[-74.362181,40.951667],[-74.36267,40.944287],[-74.360703,40.940588],[-74.361356,40.939299]]]}","POLYGON ((-74.361356 40.939299, -74.370498 40.926937, -74.37404 40.927298, -74.374216 40.921969, -74.371645 40.92135, -74.366428 40.918141, -74.356676 40.915791, -74.349697 40.916512, -74.347883 40.91351, -74.349593 40.91185, -74.353183 40.910446, -74.350384 40.908593, -74.351179 40.907344, -74.349633 40.906311, -74.351883 40.90419, -74.351747 40.902647, -74.349573 40.903845, -74.349271 40.902641, -74.344758 40.902596, -74.345589 40.900045, -74.339928 40.899308, -74.339554 40.895904, -74.338613 40.895769, -74.33944 40.893881, -74.335743 40.893239, -74.3389 40.892087, -74.339694 40.889839, -74.339646 40.888758, -74.338118 40.887173, -74.339575 40.883893, -74.340271 40.879528, -74.338075 40.879652, -74.337614 40.878206, -74.33507 40.877426, -74.33531 40.876555, -74.337696 40.87591, -74.337808 40.875101, -74.334259 40.873471, -74.337288 40.872611, -74.337418 40.87179, -74.335937 40.870521, -74.33806 40.870059, -74.336714 40.869079, -74.33765 40.868402, -74.33768 40.866752, -74.339806 40.866539, -74.34018 40.868365, -74.339545 40.874876, -74.341626 40.877524, -74.340485 40.882283, -74.342874 40.885385, -74.346198 40.887367, -74.35009 40.887702, -74.352792 40.886265, -74.355507 40.888913, -74.359916 40.886643, -74.360096 40.887329, -74.361792 40.887158, -74.36087 40.883379, -74.358905 40.883365, -74.358888 40.880786, -74.357662 40.880344, -74.357789 40.879259, -74.358676 40.879136, -74.358091 40.878002, -74.362636 40.877577, -74.360456 40.872665, -74.361843 40.87065, -74.365778 40.871801, -74.366753 40.874063, -74.37127 40.876723, -74.369921 40.878054, -74.370331 40.879192, -74.371574 40.879878, -74.37187 40.878855, -74.373453 40.878978, -74.373051 40.880533, -74.374017 40.882604, -74.3772 40.886221, -74.376296 40.888095, -74.376308 40.890713, -74.374745 40.893264, -74.374127 40.898616, -74.374902 40.901059, -74.378188 40.901844, -74.378509 40.900151, -74.383293 40.899546, -74.384277 40.902503, -74.383622 40.902564, -74.383706 40.903409, -74.384609 40.903338, -74.387159 40.909755, -74.390966 40.909837, -74.392542 40.913437, -74.393499 40.91741, -74.390968 40.919447, -74.394272 40.926232, -74.388795 40.930394, -74.389726 40.930836, -74.38883 40.931932, -74.389795 40.931872, -74.390036 40.932698, -74.374793 40.940133, -74.374929 40.941559, -74.37655 40.942487, -74.381516 40.942622, -74.380974 40.946451, -74.374397 40.954036, -74.367575 40.955078, -74.365156 40.954335, -74.363667 40.955394, -74.364141 40.954467, -74.362181 40.951667, -74.36267 40.944287, -74.360703 40.940588, -74.361356 40.939299))",7.403173506,2.253640666,4,108824,9742,1315.92215,B_Low_Suburban,7045,0.477082503,2509,28.18247299,519.2220835,0.672777999,0.996014348,18.72091503,12.48069003,0.258
198,New Jersey,7073,"{""type"":""Polygon"",""coordinates"":[[[-74.087219,40.799287],[-74.105261,40.838083],[-74.113924,40.842218],[-74.121404,40.847184],[-74.119291,40.851674],[-74.119462,40.85335],[-74.11538,40.850927],[-74.109,40.845092],[-74.078747,40.827548],[-74.070783,40.822082],[-74.066115,40.817041],[-74.061984,40.810171],[-74.060685,40.8057],[-74.065135,40.80302],[-74.068585,40.7986],[-74.071399,40.797241],[-74.077,40.796379],[-74.077787,40.792796],[-74.081794,40.787994],[-74.087219,40.799287]]]}","POLYGON ((-74.087219 40.799287, -74.105261 40.838083, -74.113924 40.842218, -74.121404 40.847184, -74.119291 40.851674, -74.119462 40.85335, -74.11538 40.850927, -74.109 40.845092, -74.078747 40.827548, -74.070783 40.822082, -74.066115 40.817041, -74.061984 40.810171, -74.060685 40.8057, -74.065135 40.80302, -74.068585 40.7986, -74.071399 40.797241, -74.077 40.796379, -74.077787 40.792796, -74.081794 40.787994, -74.087219 40.799287))",4.076259122,2.483658001,6.4,68965,9091,2230.231133,B_Low_Suburban,7073,0.745130406,3029,35.66977674,638.4631914,0.671838891,0.990756025,18.39194713,15.62142573,0.333
198,New Jersey,7081,"{""type"":""Polygon"",""coordinates"":[[[-74.347067,40.691722],[-74.36039,40.699821],[-74.352171,40.70148],[-74.342221,40.707846],[-74.333594,40.716901],[-74.330619,40.716055],[-74.332088,40.720176],[-74.325596,40.717075],[-74.321408,40.719072],[-74.315991,40.719199],[-74.311691,40.715601],[-74.309791,40.715501],[-74.308793,40.714508],[-74.302092,40.713301],[-74.299496,40.713889],[-74.29869,40.71479],[-74.296151,40.712434],[-74.297212,40.710298],[-74.301677,40.707498],[-74.301078,40.704678],[-74.306692,40.703802],[-74.309119,40.702625],[-74.310906,40.700392],[-74.310666,40.699622],[-74.307393,40.698801],[-74.307893,40.695999],[-74.30664,40.694304],[-74.308655,40.691171],[-74.312226,40.689892],[-74.310772,40.683794],[-74.307292,40.682506],[-74.308989,40.680407],[-74.307753,40.680292],[-74.310392,40.678402],[-74.322575,40.677433],[-74.347067,40.691722]]]}","POLYGON ((-74.347067 40.691722, -74.36039 40.699821, -74.352171 40.70148, -74.342221 40.707846, -74.333594 40.716901, -74.330619 40.716055, -74.332088 40.720176, -74.325596 40.717075, -74.321408 40.719072, -74.315991 40.719199, -74.311691 40.715601, -74.309791 40.715501, -74.308793 40.714508, -74.302092 40.713301, -74.299496 40.713889, -74.29869 40.71479, -74.296151 40.712434, -74.297212 40.710298, -74.301677 40.707498, -74.301078 40.704678, -74.306692 40.703802, -74.309119 40.702625, -74.310906 40.700392, -74.310666 40.699622, -74.307393 40.698801, -74.307893 40.695999, -74.30664 40.694304, -74.308655 40.691171, -74.312226 40.689892, -74.310772 40.683794, -74.307292 40.682506, -74.308989 40.680407, -74.307753 40.680292, -74.310392 40.678402, -74.322575 40.677433, -74.347067 40.691722))",5.142008449,2.352650655,6.9,92120,16249,3160.049261,C_Medium_High,7081,0.65038271,4442,29.37274368,514.8178812,0.693156236,0.997748762,18.36100331,12.61739583,0.273
198,New Jersey,7102,"{""type"":""Polygon"",""coordinates"":[[[-74.184345,40.727604],[-74.183145,40.730677],[-74.181958,40.730397],[-74.181105,40.732722],[-74.181977,40.732938],[-74.181504,40.734135],[-74.18328,40.734558],[-74.182741,40.735778],[-74.179407,40.737014],[-74.182582,40.73798],[-74.181787,40.739633],[-74.179055,40.737705],[-74.178029,40.739555],[-74.179295,40.739935],[-74.17785,40.742469],[-74.18066,40.74342],[-74.179821,40.744703],[-74.177068,40.743847],[-74.175752,40.745597],[-74.17646,40.745849],[-74.175989,40.747417],[-74.173784,40.746929],[-74.173566,40.747955],[-74.170978,40.747424],[-74.167568,40.748054],[-74.167484,40.747446],[-74.165976,40.748091],[-74.165987,40.745199],[-74.163788,40.739201],[-74.161669,40.735781],[-74.166099,40.732923],[-74.175517,40.72346],[-74.176772,40.723054],[-74.17736,40.723261],[-74.176965,40.723961],[-74.180517,40.724365],[-74.179633,40.725829],[-74.180319,40.726113],[-74.184236,40.724266],[-74.183892,40.72506],[-74.185205,40.725405],[-74.184345,40.727604]]]}","POLYGON ((-74.184345 40.727604, -74.183145 40.730677, -74.181958 40.730397, -74.181105 40.732722, -74.181977 40.732938, -74.181504 40.734135, -74.18328 40.734558, -74.182741 40.735778, -74.179407 40.737014, -74.182582 40.73798, -74.181787 40.739633, -74.179055 40.737705, -74.178029 40.739555, -74.179295 40.739935, -74.17785 40.742469, -74.18066 40.74342, -74.179821 40.744703, -74.177068 40.743847, -74.175752 40.745597, -74.17646 40.745849, -74.175989 40.747417, -74.173784 40.746929, -74.173566 40.747955, -74.170978 40.747424, -74.167568 40.748054, -74.167484 40.747446, -74.165976 40.748091, -74.165987 40.745199, -74.163788 40.739201, -74.161669 40.735781, -74.166099 40.732923, -74.175517 40.72346, -74.176772 40.723054, -74.17736 40.723261, -74.176965 40.723961, -74.180517 40.724365, -74.179633 40.725829, -74.180319 40.726113, -74.184236 40.724266, -74.183892 40.72506, -74.185205 40.725405, -74.184345 40.727604))",1.203818912,3.301076417,23.8,22734,12922,10734.17261,C_Medium_High,7102,0.832516129,3875,55.20608285,769.5874437,0.645935484,0.984258065,18.16678028,19.06305599,0.3
198,New Jersey,7110,"{""type"":""Polygon"",""coordinates"":[[[-74.1404,40.805639],[-74.146391,40.806291],[-74.149012,40.80766],[-74.149521,40.806858],[-74.148617,40.806521],[-74.175644,40.809531],[-74.183836,40.812225],[-74.179511,40.816664],[-74.178999,40.818771],[-74.176443,40.821854],[-74.174992,40.821802],[-74.162628,40.837869],[-74.151923,40.832074],[-74.150888,40.833143],[-74.148818,40.830916],[-74.149242,40.830537],[-74.130031,40.819962],[-74.136487,40.8182],[-74.137287,40.8173],[-74.138787,40.8074],[-74.1404,40.805639]]]}","POLYGON ((-74.1404 40.805639, -74.146391 40.806291, -74.149012 40.80766, -74.149521 40.806858, -74.148617 40.806521, -74.175644 40.809531, -74.183836 40.812225, -74.179511 40.816664, -74.178999 40.818771, -74.176443 40.821854, -74.174992 40.821802, -74.162628 40.837869, -74.151923 40.832074, -74.150888 40.833143, -74.148818 40.830916, -74.149242 40.830537, -74.130031 40.819962, -74.136487 40.8182, -74.137287 40.8173, -74.138787 40.8074, -74.1404 40.805639))",3.418972265,2.350813772,9.6,85082,28384,8301.909989,C_Medium_High,7110,0.740131579,7600,28.24510978,494.0816839,0.686578947,0.988815789,18.33537813,12.12610704,0.268
198,New Jersey,7416,"{""type"":""MultiPolygon"",""coordinates"":[[[[-74.566993,41.087294],[-74.564908,41.089339],[-74.56559,41.090507],[-74.564446,41.091931],[-74.562675,41.093801],[-74.560495,41.094523],[-74.559465,41.093899],[-74.558011,41.094312],[-74.556055,41.091781],[-74.554015,41.092675],[-74.552353,41.091647],[-74.552998,41.09013],[-74.556709,41.087409],[-74.558078,41.085348],[-74.56136,41.08293],[-74.563205,41.082847],[-74.565111,41.081667],[-74.567341,41.082366],[-74.566524,41.085226],[-74.566993,41.087294]]],[[[-74.593264,41.088526],[-74.601504,41.094096],[-74.602269,41.092905],[-74.606875,41.096689],[-74.606957,41.097715],[-74.638551,41.118611],[-74.634186,41.132604],[-74.633166,41.133324],[-74.629712,41.131934],[-74.625246,41.136424],[-74.620677,41.139411],[-74.613785,41.139652],[-74.6101,41.137965],[-74.610517,41.136736],[-74.606433,41.135423],[-74.60466,41.136534],[-74.598719,41.137644],[-74.595925,41.139251],[-74.593358,41.139231],[-74.579959,41.144635],[-74.576893,41.136939],[-74.573312,41.136907],[-74.571246,41.137717],[-74.569941,41.136878],[-74.575411,41.101456],[-74.577128,41.101248],[-74.574449,41.101263],[-74.567456,41.103641],[-74.562238,41.103369],[-74.55789,41.106705],[-74.552862,41.10746],[-74.557344,41.105958],[-74.56193,41.102739],[-74.569487,41.100323],[-74.575935,41.095058],[-74.578362,41.09142],[-74.583558,41.087448],[-74.585763,41.083491],[-74.593264,41.088526]]]]}","MULTIPOLYGON (((-74.566993 41.087294, -74.564908 41.089339, -74.56559 41.090507, -74.564446 41.091931, -74.562675 41.093801, -74.560495 41.094523, -74.559465 41.093899, -74.558011 41.094312, -74.556055 41.091781, -74.554015 41.092675, -74.552353 41.091647, -74.552998 41.09013, -74.556709 41.087409, -74.558078 41.085348, -74.56136 41.08293, -74.563205 41.082847, -74.565111 41.081667, -74.567341 41.082366, -74.566524 41.085226, -74.566993 41.087294)), ((-74.593264 41.088526, -74.601504 41.094096, -74.602269 41.092905, -74.606875 41.096689, -74.606957 41.097715, -74.638551 41.118611, -74.634186 41.132604, -74.633166 41.133324, -74.629712 41.131934, -74.625246 41.136424, -74.620677 41.139411, -74.613785 41.139652, -74.6101 41.137965, -74.610517 41.136736, -74.606433 41.135423, -74.60466 41.136534, -74.598719 41.137644, -74.595925 41.139251, -74.593358 41.139231, -74.579959 41.144635, -74.576893 41.136939, -74.573312 41.136907, -74.571246 41.137717, -74.569941 41.136878, -74.575411 41.101456, -74.577128 41.101248, -74.574449 41.101263, -74.567456 41.103641, -74.562238 41.103369, -74.55789 41.106705, -74.552862 41.10746, -74.557344 41.105958, -74.56193 41.102739, -74.569487 41.100323, -74.575935 41.095058, -74.578362 41.09142, -74.583558 41.087448, -74.585763 41.083491, -74.593264 41.088526)))",9.599149618,2.546774404,10,66793,5952,620.0549253,A_Low_Rural,7416,0.362944162,394,13.81679389,234.9184295,0.748730964,0.997461929,14.28320611,7.401229981,0.066
